rad6 50,rad6 100
-0.000888477,0.008199406
-0.000879827,0.008211205
-0.000871161,0.008223014
-0.000862477,0.008234833
-0.000853778,0.008246663
-0.000845061,0.008258502
-0.000836328,0.008270352
-0.000827579,0.008282212
-0.000818813,0.008294081
-0.00081003,0.008305961
-0.000801231,0.008317851
-0.000792416,0.008329752
-0.000783584,0.008341662
-0.000774736,0.008353582
-0.000765871,0.008365512
-0.00075699,0.008377453
-0.000748093,0.008389403
-0.00073918,0.008401363
-0.00073025,0.008413334
-0.000721304,0.008425314
-0.000712341,0.008437305
-0.000703363,0.008449305
-0.000694368,0.008461316
-0.000685358,0.008473336
-0.000676331,0.008485366
-0.000667288,0.008497406
-0.000658229,0.008509457
-0.000649154,0.008521517
-0.000640062,0.008533587
-0.000630955,0.008545667
-0.000621832,0.008557757
-0.000612693,0.008569856
-0.000603538,0.008581966
-0.000594367,0.008594085
-0.00058518,0.008606215
-0.000575977,0.008618354
-0.000566759,0.008630503
-0.000557524,0.008642662
-0.000548274,0.00865483
-0.000539008,0.008667009
-0.000529726,0.008679197
-0.000520429,0.008691395
-0.000511115,0.008703603
-0.000501787,0.008715821
-0.000492442,0.008728048
-0.000483082,0.008740285
-0.000473706,0.008752532
-0.000464315,0.008764789
-0.000454908,0.008777055
-0.000445485,0.008789331
-0.000436047,0.008801617
-0.000426594,0.008813913
-0.000417125,0.008826218
-0.00040764,0.008838533
-0.00039814,0.008850857
-0.000388625,0.008863191
-0.000379094,0.008875535
-0.000369548,0.008887889
-0.000359987,0.008900252
-0.00035041,0.008912625
-0.000340818,0.008925007
-0.000331211,0.008937399
-0.000321588,0.0089498
-0.000311951,0.008962211
-0.000302298,0.008974632
-0.00029263,0.008987062
-0.000282946,0.008999502
-0.000273248,0.009011951
-0.000263534,0.00902441
-0.000253806,0.009036878
-0.000244062,0.009049356
-0.000234303,0.009061844
-0.00022453,0.00907434
-0.000214741,0.009086847
-0.000204937,0.009099363
-0.000195118,0.009111888
-0.000185285,0.009124423
-0.000175436,0.009136967
-0.000165573,0.00914952
-0.000155695,0.009162083
-0.000145802,0.009174656
-0.000135894,0.009187238
-0.000125971,0.009199829
-0.000116034,0.009212429
-0.000106081,0.009225039
-9.61E-05,9.24E-03
-8.61E-05,9.25E-03
-7.61E-05,9.26E-03
-6.61E-05,9.28E-03
-5.61E-05,9.29E-03
-4.61E-05,9.30E-03
-3.60E-05,9.31E-03
-2.59E-05,9.33E-03
-1.59E-05,9.34E-03
-5.75E-06,9.35E-03
4.36E-06,9.36E-03
1.45E-05,9.38E-03
2.46E-05,9.39E-03
3.48E-05,9.40E-03
4.50E-05,9.42E-03
5.51E-05,9.43E-03
6.53E-05,9.44E-03
7.56E-05,9.45E-03
8.58E-05,9.47E-03
9.60E-05,9.48E-03
0.000106282,0.009491996
0.000116553,0.00950481
0.000126838,0.009517633
0.000137137,0.009530465
0.000147451,0.009543306
0.000157779,0.009556156
0.000168121,0.009569015
0.000178477,0.009581884
0.000188847,0.009594761
0.000199231,0.009607648
0.000209629,0.009620543
0.000220042,0.009633448
0.000230468,0.009646362
0.000240908,0.009659284
0.000251362,0.009672216
0.000261831,0.009685157
0.000272313,0.009698107
0.000282809,0.009711066
0.000293319,0.009724033
0.000303843,0.00973701
0.00031438,0.009749996
0.000324932,0.009762991
0.000335497,0.009775994
0.000346076,0.009789007
0.000356669,0.009802028
0.000367275,0.009815059
0.000377895,0.009828098
0.000388529,0.009841146
0.000399177,0.009854203
0.000409838,0.009867269
0.000420512,0.009880344
0.000431201,0.009893428
0.000441903,0.00990652
0.000452618,0.009919622
0.000463347,0.009932732
0.00047409,0.009945851
0.000484846,0.009958979
0.000495615,0.009972116
0.000506398,0.009985261
0.000517194,0.009998415
0.000528004,0.010011578
0.000538827,0.01002475
0.000549664,0.01003793
0.000560514,0.01005112
0.000571377,0.010064317
0.000582253,0.010077524
0.000593143,0.010090739
0.000604046,0.010103963
0.000614962,0.010117196
0.000625891,0.010130438
0.000636834,0.010143688
0.000647789,0.010156946
0.000658758,0.010170214
0.00066974,0.01018349
0.000680735,0.010196774
0.000691743,0.010210068
0.000702765,0.010223369
0.000713799,0.01023668
0.000724846,0.010249999
0.000735906,0.010263327
0.00074698,0.010276663
0.000758066,0.010290007
0.000769165,0.010303361
0.000780277,0.010316722
0.000791402,0.010330093
0.000802539,0.010343472
0.00081369,0.010356859
0.000824853,0.010370255
0.000836029,0.010383659
0.000847218,0.010397072
0.00085842,0.010410493
0.000869635,0.010423923
0.000880862,0.010437361
0.000892102,0.010450808
0.000903354,0.010464263
0.000914619,0.010477726
0.000925897,0.010491198
0.000937187,0.010504678
0.00094849,0.010518167
0.000959806,0.010531664
0.000971134,0.010545169
0.000982475,0.010558683
0.000993828,0.010572205
0.001005193,0.010585735
0.001016572,0.010599274
0.001027962,0.010612821
0.001039365,0.010626376
0.00105078,0.01063994
0.001062208,0.010653512
0.001073648,0.010667092
0.001085101,0.01068068
0.001096565,0.010694277
0.001108042,0.010707882
0.001119532,0.010721495
0.001131033,0.010735116
0.001142547,0.010748746
0.001154073,0.010762384
0.001165611,0.01077603
